Fecha,Deficit_MEUR,Deficit_pct_PIB
2025,-40330,-2.39
2024,-51267,-3.22
2023,-50027,-3.34
2022,-63105,-4.59
2021,-82174,-6.65
2020,-111897,-9.91
2019,-38422,-3.06
2018,-30943,-2.55
2017,-35903,-3.07
2016,-47401,-4.22
2015,-57248,-5.27
2014,-62716,-6.04
2013,-76805,-7.49
2012,-119094,-11.5
2011,-103575,-9.69
2010,-102193,-9.49
2009,-120576,-11.24
2008,-50731,-4.56
2007,20287,1.88
2006,21322,2.12
2005,11421,1.23
2004,-941,-0.11
2003,-3009,-0.37
2002,-2356,-0.31
2001,-3189,-0.45
2000,-7520,-1.16
1999,-7382,-1.24
1998,-14594,-2.63
1997,-20028,-3.86
1996,-28681,-5.87
1995,-31267,-6.79
1994,-26995,-6.32
1993,-27781,-6.89
1992,-16499,-4.27
1991,-16451,-4.58
1990,-12767,-3.9
1989,-8776,-2.99
1988,-8903,-3.4
1987,-7735,-3.28
1986,-12535,-5.93
1985,-12604,-6.8
1984,-8963,-5.39
1983,-6997,-4.71
1982,-7121,-5.48
1981,-2707,-2.39
1980,-2011,-2.03
