anio,anio_base,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,pib_per_capita_eur_a_1986,vivienda_m2_pct_desde_base,pib_per_capita_pct_desde_base,brecha_vivienda_vs_pib_pct_puntos
1995,1995,683.025,0.62,423.4755,7163.3,0.0,0.0,0.0
1996,1995,692.3,0.6,415.37999999999994,7318.4,-1.9116808410404085,2.1652031884745737,-4.076884029514982
1997,1995,711.65,0.59,419.8735,7587.08,-0.8505804940309503,5.91598844108161,-6.76656893511256
1998,1995,752.95,0.57,429.18149999999997,7939.61,1.3474215155304003,10.83732357991427,-9.48990206438387
1999,1995,810.65,0.56,453.96400000000006,8275.28,7.1995900589290285,15.523292337330563,-8.323702278401534
2000,1995,880.225,0.54,475.32150000000007,8674.65,12.242975095371534,21.098516047073268,-8.855540951701734
2001,1995,967.0,0.52,502.84000000000003,9000.89,18.74122587965539,25.652841567433992,-6.911615687778603
2002,1995,1119.1,0.51,570.741,9300.17,34.77544745799934,29.83080423827007,4.944643219729272
2003,1995,1316.275,0.49,644.9747500000001,9472.84,52.305092030117464,32.24128544106766,20.063806589049804
2004,1995,1545.95,0.48,742.056,9688.88,75.2299719818502,35.25721385394998,39.97275812790022
2005,1995,1761.0,0.46,810.0600000000001,9935.24,91.28851610069533,38.69641087208409,52.592105228611246
2006,1995,1944.275,0.45,874.92375,10225.53,106.6055179107174,42.748872726257446,63.85664518445995
2007,1995,2056.35,0.44,904.794,10482.09,113.65911369134696,46.33046221713455,67.3286514742124
2008,1995,2071.075,0.42,869.8514999999999,10201.68,105.40775086162006,42.41592562087306,62.991825240747
2009,1995,1917.025,0.42,805.1505,9755.29,90.12918102700156,36.18430053187778,53.94488049512378
2010,1995,1843.025,0.41,755.64025,9544.72,78.43777266925713,33.24473357251545,45.19303909674168
2011,1995,1740.1999999999998,0.4,696.0799999999999,9153.42,64.37314555387499,27.78216743679589,36.5909781170791
2012,1995,1588.125,0.39,619.36875,8623.37,46.25846123329449,20.38264487038097,25.87581636291352
2013,1995,1495.35,0.38,568.233,8445.8,34.18320540385451,17.903759440481327,16.27944596337318
2014,1995,1459.4,0.39,569.166,8607.94,34.40352511538449,20.167241355241305,14.236283760143184
2015,1995,1475.2,0.39,575.3280000000001,9064.5,35.85862700439579,26.54084011558917,9.317786888806623
2016,1995,1502.625,0.39,586.0237500000001,9390.19,38.384333922505554,31.087487610458876,7.296846312046679
2017,1995,1538.625,0.38,584.6775,9577.78,38.06642887250855,33.706252704758974,4.360176167749579
2018,1995,1590.7,0.37,588.559,9725.29,38.983010823530506,35.76549914145717,3.2175116820733365
2019,1995,1641.2,0.37,607.244,9932.49,43.39530858337732,38.65802074462887,4.7372878387484505
2020,1995,1623.1,0.37,600.5469999999999,8907.37,41.813871168461915,24.347298033029485,17.46657313543243
2021,1995,1657.575,0.36,596.727,9424.47,40.91181189938968,31.566037999246156,9.345773900143527
2022,1995,1740.975,0.33,574.52175,9648.03,35.668238186152436,34.686945960660594,0.9812922254918419
2023,1995,1809.075,0.32,578.904,10041.48,36.70306782800894,40.17952619602696,-3.4764583680180223
2024,1995,1913.625,0.32,612.36,10559.01,44.60340680865835,47.40426898217302,-2.8008621735146733
